Date,Treatment,Tank,SSID,Mass,Color,RightingTime,ArmCircumference
4/7/23,PBS,7,7B,107.9,Purple,126,86
4/7/23,PBS,7,7C,79.3,Others,829,66
4/7/23,PBS,8,8A,75.8,Purple,143,67
4/7/23,PBS,8,8B,107.1,LightBrown/Purple,210,77
4/7/23,PBS,8,8C,104.7,Purple,393,72
4/7/23,10X_KA,9,9A,97.8,DarkPurple,461,62
4/7/23,10X_KA,9,9B,83.3,Purple,441,59
4/7/23,10X_KA,9,9C,109.7,Others,1321,73
4/7/23,1X_KA,10,10A,109.5,DarkPurple,482,71
4/7/23,1X_KA,10,10B,89.6,Purple,290,62
4/7/23,1X_KA,10,10C,71.6,LightBrown/Purple,362,63
4/7/23,10X_KA,11,11A,85,DarkPurple,1433,62
4/7/23,10X_KA,11,11B,84.5,DarkPurple,759,60
4/7/23,10X_KA,11,11C,94.6,LightBrown/Purple,1277,58
4/7/23,PBS,12,12A,105.1,LightBrown/Purple,405,76
4/7/23,PBS,12,12B,83.6,LightBrown/Purple,207,71
4/7/23,PBS,12,12C,96.6,Purple,874,69
4/8/23,1X_KA,1,1A,81.1,Color/Purple,225,63
4/8/23,1X_KA,1,1B,98.6,Others,472,68
4/8/23,1X_KA,1,1C,106.5,Color/Purple,147,66
4/8/23,PBS,2,2A,117,Purple,465,73
4/8/23,PBS,2,2B,113.3,Color/Purple,266,79
4/8/23,PBS,2,2C,98.1,LightBrown/Purple,155,69
4/8/23,1X_KA,3,3A,98.1,Others,154,79
4/8/23,1X_KA,3,3B,101.2,Color/Purple,1800,67
4/8/23,1X_KA,3,3C,94.5,Color/Purple,161,66
4/8/23,10X_KA,4,4A,108.5,Color/Purple,207,72
4/8/23,10X_KA,4,4B,109.8,Others,926,70
4/8/23,10X_KA,4,4C,85,Others,398,65
4/8/23,10X_KA,5,5A,66.4,Purple,663,46
4/8/23,10X_KA,5,5B,85.7,Purple,275,62
4/8/23,10X_KA,5,5C,105.1,LightBrown/Purple,187,62
4/8/23,1X_KA,6,6A,101.2,LightBrown/Purple,190,64
4/8/23,1X_KA,6,6B,81.3,Purple,198,59
4/8/23,1X_KA,6,6C,97.2,Purple,144,67
4/8/23,PBS,7,7A,101.2,Others,305,74
4/8/23,PBS,7,7B,107.9,Purple,178,76
4/8/23,PBS,7,7C,79.3,Others,195,64
4/8/23,PBS,8,8A,75.8,Purple,130,62
4/8/23,PBS,8,8B,107.1,LightBrown/Purple,418,72
4/8/23,PBS,8,8C,104.7,Purple,363,74
4/8/23,10X_KA,9,9A,97.8,DarkPurple,391,63
4/8/23,10X_KA,9,9B,83.3,Purple,229,60
4/8/23,10X_KA,9,9C,109.7,Others,409,69
4/8/23,1X_KA,10,10A,109.5,DarkPurple,188,72
4/8/23,1X_KA,10,10B,89.6,Purple,209,59
4/8/23,1X_KA,10,10C,71.6,LightBrown/Purple,264,66
4/8/23,10X_KA,11,11A,85,DarkPurple,389,70
4/8/23,10X_KA,11,11B,84.5,DarkPurple,224,60
4/8/23,10X_KA,11,11C,94.6,LightBrown/Purple,465,62
4/8/23,PBS,12,12A,105.1,LightBrown/Purple,394,76
4/8/23,PBS,12,12B,83.6,LightBrown/Purple,336,68
4/8/23,PBS,12,12C,96.6,Purple,297,67
4/9/23,1X_KA,1,1A,81.1,Color/Purple,137,69
4/9/23,1X_KA,1,1B,98.6,Others,470,63
4/9/23,1X_KA,1,1C,106.5,Color/Purple,260,61
4/9/23,PBS,2,2A,117,Purple,217,70
4/9/23,PBS,2,2B,113.3,Color/Purple,263,79
4/9/23,PBS,2,2C,98.1,LightBrown/Purple,408,70
4/9/23,1X_KA,3,3A,98.1,Others,257,79
4/9/23,1X_KA,3,3B,101.2,Color/Purple,930,74
4/9/23,1X_KA,3,3C,94.5,Color/Purple,119,71
4/9/23,10X_KA,4,4A,108.5,Color/Purple,204,74
4/9/23,10X_KA,4,4B,109.8,Others,337,72
4/9/23,10X_KA,4,4C,85,Others,190,70
4/9/23,10X_KA,5,5A,66.4,Purple,557,55
4/9/23,10X_KA,5,5B,85.7,Purple,898,64
4/9/23,10X_KA,5,5C,105.1,LightBrown/Purple,375,68
4/9/23,1X_KA,6,6A,101.2,LightBrown/Purple,399,67
4/9/23,1X_KA,6,6B,81.3,Purple,156,55
4/9/23,1X_KA,6,6C,97.2,Purple,129,65
4/9/23,PBS,7,7A,101.2,Others,218,73
4/9/23,PBS,7,7B,107.9,Purple,221,69
4/9/23,PBS,7,7C,79.3,Others,175,68
4/9/23,PBS,8,8A,75.8,Purple,207,64
4/9/23,PBS,8,8B,107.1,LightBrown/Purple,338,78
4/9/23,PBS,8,8C,104.7,Purple,439,79
4/9/23,10X_KA,9,9A,97.8,DarkPurple,194,73
4/9/23,10X_KA,9,9B,83.3,Purple,431,66
4/9/23,10X_KA,9,9C,109.7,Others,455,72
4/9/23,1X_KA,10,10A,109.5,DarkPurple,226,73
4/9/23,1X_KA,10,10B,89.6,Purple,266,62
4/9/23,1X_KA,10,10C,71.6,LightBrown/Purple,148,63
4/9/23,10X_KA,11,11A,85,DarkPurple,245,75
4/9/23,10X_KA,11,11B,84.5,DarkPurple,254,60
4/9/23,10X_KA,11,11C,94.6,LightBrown/Purple,885,65
4/9/23,PBS,12,12A,105.1,LightBrown/Purple,455,72
4/9/23,PBS,12,12B,83.6,LightBrown/Purple,195,65
4/9/23,PBS,12,12C,96.6,Purple,298,68
4/11/23,1X_KA,1,1A,81.1,Color/Purple,262,68
4/11/23,1X_KA,1,1B,98.6,Others,243,69
4/11/23,1X_KA,1,1C,106.5,Color/Purple,355,71
4/11/23,PBS,2,2A,117,Purple,440,68
4/11/23,PBS,2,2B,113.3,Color/Purple,392,79
4/11/23,PBS,2,2C,98.1,LightBrown/Purple,258,68
4/11/23,1X_KA,3,3A,98.1,Others,199,75
4/11/23,1X_KA,3,3B,101.2,Color/Purple,735,72
4/11/23,1X_KA,3,3C,94.5,Color/Purple,231,68
4/11/23,10X_KA,4,4A,108.5,Color/Purple,520,74
4/11/23,10X_KA,4,4B,109.8,Others,519,64
4/11/23,10X_KA,4,4C,85,Others,235,68
4/11/23,10X_KA,5,5A,66.4,Purple,325,51
4/11/23,10X_KA,5,5B,85.7,Purple,1441,64
4/11/23,10X_KA,5,5C,105.1,LightBrown/Purple,379,58
4/11/23,1X_KA,6,6A,101.2,LightBrown/Purple,655,67
4/11/23,1X_KA,6,6B,81.3,Purple,239,56
4/11/23,1X_KA,6,6C,97.2,Purple,250,61
4/11/23,PBS,7,7A,101.2,Others,1736,78
4/11/23,PBS,7,7B,107.9,Purple,380,63
4/11/23,PBS,7,7C,79.3,Others,315,62
4/11/23,PBS,8,8A,75.8,Purple,351,62
4/11/23,PBS,8,8B,107.1,LightBrown/Purple,510,79
4/11/23,PBS,8,8C,104.7,Purple,503,72
4/11/23,10X_KA,9,9A,97.8,DarkPurple,291,75
4/11/23,10X_KA,9,9B,83.3,Purple,684,65
4/11/23,10X_KA,9,9C,109.7,Others,390,73
4/11/23,1X_KA,10,10A,109.5,DarkPurple,250,81
4/11/23,1X_KA,10,10B,89.6,Purple,312,64
4/11/23,1X_KA,10,10C,71.6,LightBrown/Purple,231,64
4/11/23,10X_KA,11,11A,85,DarkPurple,334,62
4/11/23,10X_KA,11,11B,84.5,DarkPurple,269,56
4/11/23,10X_KA,11,11C,94.6,LightBrown/Purple,403,59
4/11/23,PBS,12,12A,105.1,LightBrown/Purple,574,80
4/11/23,PBS,12,12B,83.6,LightBrown/Purple,228,66
4/11/23,PBS,12,12C,96.6,Purple,488,66
4/13/23,1X_KA,1,1A,81.1,Color/Purple,301,61
4/13/23,1X_KA,1,1B,98.6,Others,240,71
4/13/23,1X_KA,1,1C,106.5,Color/Purple,262,66
4/13/23,PBS,2,2A,117,Purple,671,77
4/13/23,PBS,2,2B,113.3,Color/Purple,267,83
4/13/23,PBS,2,2C,98.1,LightBrown/Purple,186,68
4/13/23,1X_KA,3,3A,98.1,Others,123,74
4/13/23,1X_KA,3,3B,101.2,Color/Purple,338,66
4/13/23,1X_KA,3,3C,94.5,Color/Purple,173,68
4/13/23,10X_KA,4,4A,108.5,Color/Purple,353,67
4/13/23,10X_KA,4,4B,109.8,Others,221,67
4/13/23,10X_KA,4,4C,85,Others,524,66
4/13/23,10X_KA,5,5A,66.4,Purple,273,52
4/13/23,10X_KA,5,5B,85.7,Purple,351,63
4/13/23,10X_KA,5,5C,105.1,LightBrown/Purple,217,62
4/13/23,1X_KA,6,6A,101.2,LightBrown/Purple,221,67
4/13/23,1X_KA,6,6B,81.3,Purple,265,61
4/13/23,1X_KA,6,6C,97.2,Purple,189,66
4/13/23,PBS,7,7A,101.2,Others,163,76
4/13/23,PBS,7,7B,107.9,Purple,181,63
4/13/23,PBS,7,7C,79.3,Others,284,67
4/13/23,PBS,8,8A,75.8,Purple,157,65
4/13/23,PBS,8,8B,107.1,LightBrown/Purple,311,79
4/13/23,PBS,8,8C,104.7,Purple,570,77
4/13/23,10X_KA,9,9A,97.8,DarkPurple,198,72
4/13/23,10X_KA,9,9B,83.3,Purple,308,65
4/13/23,10X_KA,9,9C,109.7,Others,281,59
4/13/23,1X_KA,10,10A,109.5,DarkPurple,178,77
4/13/23,1X_KA,10,10B,89.6,Purple,436,64
4/13/23,1X_KA,10,10C,71.6,LightBrown/Purple,197,68
4/13/23,10X_KA,11,11A,85,DarkPurple,292,64
4/13/23,10X_KA,11,11B,84.5,DarkPurple,297,62
4/13/23,10X_KA,11,11C,94.6,LightBrown/Purple,469,64
4/13/23,PBS,12,12A,105.1,LightBrown/Purple,355,80
4/13/23,PBS,12,12B,83.6,LightBrown/Purple,194,65
4/13/23,PBS,12,12C,96.6,Purple,280,64
